Longitude[deg], Latitude[deg], Radiance
24.851999 7.579900 0.039871
24.860100 7.579600 0.039871
24.869400 7.579200 0.034702
24.877600 7.578800 0.045040
24.885700 7.578500 0.034702
24.895100 7.578100 0.045040
24.901999 7.577700 0.034702
24.911400 7.577400 0.039871
24.919498 7.577000 0.039871
24.927700 7.576600 0.034702
24.937000 7.576300 0.019194
24.945099 7.575900 0.034702
24.953299 7.575500 0.039871
24.962599 7.575200 0.045040
24.698500 7.574100 0.039831
24.711300 7.573700 0.029492
24.715899 7.573400 0.039831
24.723999 7.573000 0.039831
24.733299 7.572600 0.034662
24.741499 7.572300 0.034662
24.749599 7.571900 0.029492
24.757700 7.571500 0.034662
24.765900 7.571200 0.039831
24.775200 7.570800 0.034662
24.783298 7.570500 0.024323
24.792599 7.570100 0.019154
24.800699 7.569700 0.024323
24.808899 7.569400 0.039831
24.818199 7.569000 0.045000
24.826300 7.568600 0.029492
24.834400 7.568300 0.039831
24.842600 7.567900 0.034662
24.851900 7.567500 0.050169
24.859999 7.567200 0.034662
24.869299 7.566800 0.024323
24.876299 7.566500 0.029492
24.885700 7.566100 0.029492
24.894999 7.565700 0.008815
24.903099 7.565400 0.045000
24.911299 7.565000 0.039831
24.919399 7.564600 0.024323
24.928799 7.564300 0.050169
24.936899 7.563900 0.034662
24.945099 7.563500 0.029492
24.954399 7.563200 0.039831
24.962599 7.562800 0.029492
24.697199 7.561700 0.024284
24.711100 7.561300 0.034622
24.715799 7.561000 0.039792
24.723900 7.560600 0.024284
24.733200 7.560300 0.039792
24.741299 7.559900 0.024284
24.749500 7.559500 0.039792
24.757599 7.559200 0.034622
24.765699 7.558800 0.044961
24.775000 7.558400 0.055299
24.783199 7.558100 0.050130
24.792500 7.557700 0.044961
24.800600 7.557400 0.039792
24.808800 7.557000 0.039792
24.818100 7.556600 0.039792
24.826199 7.556300 0.039792
24.834299 7.555900 0.029453
24.843599 7.555500 0.034622
24.851799 7.555200 0.044961
24.859900 7.554800 0.050130
24.869200 7.554400 0.034622
24.877399 7.554100 0.034622
24.885599 7.553700 0.044961
24.893700 7.553300 0.039792
24.903099 7.553000 0.044961
24.911200 7.552600 0.050130
24.919399 7.552200 0.024284
24.928699 7.551900 0.050130
24.936800 7.551500 0.060469
24.945000 7.551100 0.034622
24.954300 7.550800 0.029453
24.962500 7.550400 0.029453
24.698200 7.549300 0.034582
24.710999 7.548900 0.044921
24.715599 7.548600 0.029413
24.723799 7.548200 0.034582
24.733000 7.547900 0.039751
24.740000 7.547500 0.029413
24.749300 7.547200 0.034582
24.757500 7.546800 0.029413
24.766800 7.546400 0.029413
24.773800 7.546100 0.024244
24.783100 7.545700 0.024244
24.792398 7.545300 0.029413
24.800499 7.545000 0.044921
24.808699 7.544600 0.039751
24.816799 7.544200 0.024244
24.826099 7.543900 0.029413
24.834200 7.543500 0.060428
24.843500 7.543100 0.039751
24.851700 7.542800 0.034582
24.859798 7.542400 0.044921
24.868000 7.542100 0.034582
24.877300 7.541700 0.039751
24.885500 7.541300 0.055259
24.893599 7.541000 0.039751
24.903000 7.540600 0.039751
24.911098 7.540200 0.039751
24.919300 7.539900 0.044921
24.928600 7.539500 0.039751
24.936800 7.539100 0.039751
24.944899 7.538800 0.050090
24.953100 7.538400 0.044921
24.962399 7.538000 0.034582
24.698099 7.536900 0.034542
24.710899 7.536600 0.034542
24.715500 7.536200 0.034542
24.723598 7.535900 0.034542
24.732899 7.535500 0.039711
24.741100 7.535100 0.029372
24.749199 7.534800 0.044880
24.757399 7.534400 0.044880
24.765499 7.534100 0.039711
24.774799 7.533700 0.044880
24.782999 7.533300 0.039711
24.792299 7.533000 0.039711
24.800400 7.532600 0.039711
24.808500 7.532200 0.034542
24.817799 7.531900 0.044880
24.826000 7.531500 0.044880
24.834099 7.531100 0.029372
24.842199 7.530800 0.034542
24.851500 7.530400 0.029372
24.859699 7.530000 0.034542
24.868999 7.529700 0.039711
24.875999 7.529300 0.039711
